"","Index_Region","Time","Category","Index_Estimate","Index_SD","Date","Year","Season","YearGroup","Km2","Total_Estimate","Proportion","Proportion_SD","Total_density_Estimate","All_density_SD","CA_density_Estimate","CA_density_SD","ProportionalDensity","ProportionalDensity_SD"
"90","BOF",9,1,50848.2609600129,19809.8620462196,9-05-01,1993,"Spring",4,14804.1704405933,1111694.86645287,4.6,1.8,1.30390293772186,0.0232349164302142,3.43472544875504,1.33812712611715,263.4,102.6
"91","BOF",72,1,226295.488477514,68095.0920711889,73-05-19,2014,"Summer",25,14804.1704405933,3084643.48879391,7.3,2.2,3.61796732919744,0.079868490244421,15.2859283392879,4.59972359440492,422.5,127.1
"92","BOF",27,1,55327.4800029949,21408.4493397586,27-05-08,1999,"Spring",10,14804.1704405933,987627.804834247,5.6,2.2,1.15838512433552,0.0251098937564126,3.73729012544235,1.44610935314931,322.6,124.8
"93","BOF",99,1,159150.736657599,72120.7329183285,99-07-29,2023,"Spring",34,14804.1704405933,3313348.67072004,4.8,2.2,3.8862148201094,0.0845901500138384,10.7503988349935,4.87164972922577,276.6,125.4
"94","BOF",25,1,51659.3554279636,18722.7926604453,25-05-16,1998,"Summer",9,14804.1704405933,912698.745451174,5.7,2.1,1.07050109824295,0.0219598966308143,3.48951369043366,1.26469718351169,326,118.1
"95","BOF",12,1,46247.9824372927,18388.912374271,12-07-05,1994,"Spring",5,14804.1704405933,945636.785148087,4.9,1.9,1.10913400734384,0.0215682896358309,3.12398338176923,1.24214405988249,281.7,112
"96","BOF",42,1,73384.3506354661,25501.049018988,43-07-20,2004,"Summer",15,14804.1704405933,1069507.94638263,6.9,2.4,1.25442204986948,0.0299100893008013,4.95700525267156,1.72255845886938,395.2,137.3
"97","BOF",8,1,42228.0141192932,16861.4380227159,8-05-30,1992,"Fall",3,14804.1704405933,927999.878086994,4.6,1.8,1.08844774205356,0.0197767204252593,2.8524404179719,1.13896540778006,262.1,104.6
"98","BOF",44,1,58737.6521715645,22916.9071647996,44-07-04,2004,"Fall",15,14804.1704405933,1017906.39387339,5.8,2.3,1.19389877325988,0.0268791585509658,3.96764225373309,1.54800346677724,332.3,129.7
"99","BOF",43,1,80449.1698231807,28312.9324789154,42-07-24,2004,"Spring",15,14804.1704405933,1059693.70452546,7.6,2.7,1.24291096065314,0.0332081373664809,5.4342234268384,1.9124970624008,437.2,153.9
"100","BOF",98,1,139466.053427455,63073.0350213211,98-06-10,2022,"Fall",33,14804.1704405933,3308936.18408677,4.2,1.9,3.88103943029931,0.0739781374701716,9.4207273543026,4.26049100653244,242.7,109.8
"101","BOF",10,1,35339.0628899428,12986.4143183457,10-05-30,1993,"Summer",4,14804.1704405933,974736.448319205,3.6,1.3,1.14326489832889,0.015231718964569,2.38710186644721,0.877213240043271,208.8,76.7
"102","BOF",26,1,45328.9537567882,18160.7700967436,26-06-20,1998,"Fall",9,14804.1704405933,878284.13812105,5.2,2.1,1.03013632823958,0.0213007023734774,3.0619043423396,1.22673338365157,297.2,119.1
"103","Browns",49,1,301207.359267514,70085.6333413197,49-06-22,2006,"Summer",17,22653.5507260447,1321458.31626725,22.8,5.3,1.54993373870267,0.0822031889896455,13.2962537709913,3.09380344780752,857.9,199.6
"104","Browns",86,1,358294.284771648,112589.718822803,86-07-26,2018,"Fall",29,22653.5507260447,3225387.44798651,11.1,3.5,3.78304541617592,0.132056079019912,15.8162527854726,4.97006938048607,418.1,131.4
"105","Browns",50,1,256236.569459156,80128.5021615275,50-05-19,2006,"Fall",17,22653.5507260447,1276278.01705688,20.1,6.3,1.49694192714962,0.0939824339542344,11.3110996398707,3.53712771699864,755.6,236.3
"106","Browns",51,1,345496.861000529,100052.305927462,52-07-15,2007,"Summer",18,22653.5507260447,1702878.11438432,20.3,5.9,1.99729965742547,0.117350992220485,15.2513336729731,4.41662797754845,763.6,221.1
"107","Browns",81,1,472635.944968345,131269.998494127,81-06-08,2017,"Spring",28,22653.5507260447,3209302.86273625,14.7,4.1,3.76417986359244,0.153966112317649,20.863658447369,5.79467652032166,554.3,153.9
"108","Browns",84,1,508933.447629849,159515.669093699,85-05-12,2018,"Summer",29,22653.5507260447,3271051.22335903,15.6,4.9,3.8366042951925,0.187095358466118,22.4659460136962,7.04153053191367,585.6,183.5
"109","Browns",85,1,618001.159282194,149348.344952614,84-06-14,2018,"Spring",29,22653.5507260447,3767133.72978205,16.4,4,4.41845769489498,0.175170140300245,27.280542761523,6.59271240781291,617.4,149.2
"110","Browns",83,1,347040.324299444,105480.105627493,83-07-15,2017,"Fall",28,22653.5507260447,2982221.82786538,11.6,3.5,3.4978373289599,0.123717239099737,15.3194670670524,4.65622837245653,438,133.1
"111","Browns",57,1,479019.98785628,150734.921205521,57-07-01,2009,"Spring",20,22653.5507260447,2300863.25770399,20.8,6.6,2.69867429593255,0.176796450634222,21.1454704672655,6.65392030716941,783.6,246.6
"112","Browns",41,1,160084.634705375,53478.4256443984,41-05-28,2003,"Fall",14,22653.5507260447,892960.571906533,17.9,6,1.04735026500015,0.0627246544053619,7.06664648916722,2.36070831858224,674.7,225.4
"113","Browns",58,1,404266.978059498,95448.4055921358,58-07-17,2009,"Summer",20,22653.5507260447,1960605.49895519,20.6,4.9,2.2995871861478,0.111951093963003,17.8456341325209,4.21339712906017,776,183.2
"114","Browns",76,1,484218.069997194,104329.13018741,76-07-07,2015,"Summer",26,22653.5507260447,3167509.80252495,15.3,3.3,3.71516093256168,0.122367264117521,21.3749303962531,4.60542064460842,575.3,124
"115","Browns",59,1,392055.793761432,124091.670850778,59-05-03,2009,"Fall",20,22653.5507260447,2120239.2465065,18.5,5.9,2.48682103841505,0.145546677466828,17.3065935006245,5.47780223733802,695.9,220.3
"116","Browns",62,1,456632.337783953,140279.144388258,62-05-31,2010,"Fall",21,22653.5507260447,2539680.4084216,18,5.5,2.97878207891857,0.164532907354856,20.1572081704156,6.19236896170012,676.7,207.9
