"","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup"
"170",56,1,"USA",174043.319829403,40559.2886259698,56-06-04,2008,"Fall",19
"171",56,1,"Canada",1629029.67060795,284714.835178725,56-06-18,2008,"Fall",19
"172",57,1,"All",2300863.25770399,354617.089410064,57-06-13,2009,"Spring",20
"173",57,1,"USA",154715.48809995,32458.550733721,57-07-21,2009,"Spring",20
"174",57,1,"Canada",2146147.76960404,349421.248916517,57-05-04,2009,"Spring",20
"175",58,1,"All",1960605.49895519,315080.987249278,58-07-04,2009,"Summer",20
"176",58,1,"USA",164497.807547996,49387.6506174235,58-07-29,2009,"Summer",20
"177",58,1,"Canada",1796107.69140719,302223.416524825,58-05-21,2009,"Summer",20
"178",59,1,"All",2120239.2465065,341127.040795102,59-06-04,2009,"Fall",20
"179",59,1,"USA",215472.784670583,56540.720091019,59-06-15,2009,"Fall",20
"180",59,1,"Canada",1904766.46183592,329853.760533657,59-05-14,2009,"Fall",20
"181",60,1,"All",2673276.79270333,396547.578061005,60-07-18,2010,"Spring",21
"182",60,1,"USA",297832.440426886,59175.4048840525,60-07-04,2010,"Spring",21
"183",60,1,"Canada",2375444.35227644,385758.008489928,60-07-27,2010,"Spring",21
"184",61,1,"All",2660737.54924765,418174.28272973,61-07-03,2010,"Summer",21
"185",61,1,"USA",213974.300274019,66719.3534643269,61-06-01,2010,"Summer",21
"186",61,1,"Canada",2446763.24897364,401750.979760717,61-06-27,2010,"Summer",21
"187",62,1,"All",2539680.4084216,396552.623184827,62-05-30,2010,"Fall",21
"188",62,1,"USA",238862.25998434,54407.937626239,62-05-12,2010,"Fall",21
"189",62,1,"Canada",2300818.14843726,385921.648869039,62-07-08,2010,"Fall",21
"190",63,1,"All",2581592.81510052,425693.727749,63-06-02,2011,"Spring",22
"191",63,1,"USA",192384.625141278,41434.6265410219,63-06-30,2011,"Spring",22
"192",63,1,"Canada",2389208.18995925,417019.620081575,63-05-07,2011,"Spring",22
"193",64,1,"All",4105978.90216979,670156.54230456,64-06-01,2011,"Summer",22
"194",64,1,"USA",233722.70474031,62604.8193917495,64-05-23,2011,"Summer",22
"195",64,1,"Canada",3872256.19742948,653620.972829234,64-06-17,2011,"Summer",22
"196",65,1,"All",2683435.8739475,433783.393366618,65-07-05,2011,"Fall",22
"197",65,1,"USA",215577.428019122,51240.1992128487,65-05-02,2011,"Fall",22
"198",65,1,"Canada",2467858.44592839,422962.747118763,65-05-09,2011,"Fall",22
"199",66,1,"All",2975655.52813056,440949.759881585,66-06-03,2012,"Spring",23
"200",66,1,"USA",281377.589981218,51261.7999865716,66-07-23,2012,"Spring",23
"201",66,1,"Canada",2694277.93814934,432038.605386699,66-06-05,2012,"Spring",23
"202",67,1,"All",2604372.05324328,415866.608833758,67-07-05,2012,"Summer",23
"203",67,1,"USA",194985.777399601,56466.3551634814,67-07-14,2012,"Summer",23
"204",67,1,"Canada",2409386.27584367,398435.099539012,67-06-11,2012,"Summer",23
"205",68,1,"All",2681920.93153458,416973.963369676,68-07-06,2012,"Fall",23
"206",68,1,"USA",174248.67209214,39929.6528038984,68-05-21,2012,"Fall",23
"207",68,1,"Canada",2507672.25944244,410057.687752586,68-05-31,2012,"Fall",23
"208",69,1,"All",2908019.49528548,457804.82197686,69-07-21,2013,"Spring",24
"209",69,1,"USA",213577.742395168,44224.943652257,69-06-26,2013,"Spring",24
"210",69,1,"Canada",2694441.75289031,450019.777962905,69-07-20,2013,"Spring",24
"211",70,1,"All",2283536.7415605,369553.58123624,70-06-18,2013,"Summer",24
"212",70,1,"USA",179857.229676412,49510.7997872954,70-06-21,2013,"Summer",24
"213",70,1,"Canada",2103679.51188408,355428.325832852,70-05-05,2013,"Summer",24
"214",71,1,"All",2747745.3189566,450261.445212342,71-05-15,2013,"Fall",24
"215",71,1,"USA",160948.161980494,37753.7892122285,71-05-09,2013,"Fall",24
"216",71,1,"Canada",2586797.1569761,443586.357935345,71-07-08,2013,"Fall",24
"217",72,1,"All",3084643.48879391,481508.189109182,73-06-13,2014,"Summer",25
"218",72,1,"USA",200341.558329429,43525.5485117573,73-07-13,2014,"Summer",25
"219",72,1,"Canada",2884301.93046448,474487.69517988,73-07-09,2014,"Summer",25
"220",73,1,"All",2986454.33920144,507372.760118274,72-07-14,2014,"Spring",25
"221",73,1,"USA",193674.798974614,52648.8341583654,72-07-05,2014,"Spring",25
"222",73,1,"Canada",2792779.54022683,492744.338486102,72-07-02,2014,"Spring",25
"223",74,1,"All",2722416.85815846,465232.103341768,74-05-04,2014,"Fall",25
"224",74,1,"USA",145922.167430586,36420.4654468929,74-05-22,2014,"Fall",25
"225",74,1,"Canada",2576494.69072788,458177.439637399,74-05-13,2014,"Fall",25
"226",75,1,"All",3058573.01919114,481848.965402142,75-07-22,2015,"Spring",26
"227",75,1,"USA",152960.248345508,32203.1787867214,75-07-15,2015,"Spring",26
"228",75,1,"Canada",2905612.77084563,475834.014205648,75-07-13,2015,"Spring",26
"229",76,1,"All",3167509.80252495,483437.378446131,76-07-26,2015,"Summer",26
"230",76,1,"USA",170841.902679197,45743.7775090268,76-07-05,2015,"Summer",26
"231",76,1,"Canada",2996667.89984575,469352.122427023,76-06-07,2015,"Summer",26
"232",77,1,"All",2971302.84294151,483506.960811418,77-05-26,2015,"Fall",26
"233",77,1,"USA",165266.908604471,38083.1143617037,77-06-13,2015,"Fall",26
"234",77,1,"Canada",2806035.93433703,477169.479209688,77-07-24,2015,"Fall",26
