"Year","Season","Stratum","centroid_longitude","centroid_latitude","centroid_latitude_Median","centroid_longitude_Median","centroid_latitude_Quantile_05","centroid_longitude_Quantile_05","centroid_latitude_Quantile_95","centroid_longitude_Quantile_95"
2007,"Fall","Canada",-61.2903654695825,44.0036781369582,43.7507963745797,-61.5365919831884,42.4090976062335,-66.6905069144263,46.9566970768881,-51.8668274666608
2007,"Fall","USA",-68.5170415510242,43.423932939737,43.7270355196086,-68.4038944677368,41.3620918864395,-70.1139364356017,44.2565075429589,-67.4377853057258
2007,"Spring","Canada",-61.4279120573461,44.0330236454303,43.6477844561215,-62.0850976578281,42.4044404473265,-66.7463329104972,47.2153105507589,-51.5940081555173
2007,"Spring","USA",-68.584547805819,43.3427910940662,43.6961248423044,-68.6136429203861,41.2032086810913,-70.2837185301982,44.2564280647065,-67.4369505129065
2007,"Summer","Canada",-62.0620743529121,43.8410880344423,43.4727991071168,-62.7006989207735,42.4038340918083,-66.7232081717972,46.955553916524,-52.464444357827
2007,"Summer","USA",-68.553928828064,43.3728717199651,43.6961248423044,-68.5707389807383,41.1999780734694,-70.2179843424249,44.2564478757594,-67.4372615507498
2008,"Fall","Canada",-61.2225245251349,44.0388422415979,43.822684568829,-61.5193038664516,42.431174520494,-66.7460887349465,46.9344803198069,-51.8053078243066
2008,"Fall","USA",-68.3677955982049,43.6655405655915,43.9477346156943,-68.3518390156365,41.8680321109224,-70.0310600918484,44.2567294112355,-67.4729195047127
2008,"Spring","Canada",-61.5968009584516,44.0011853574892,43.7507963745797,-62.1232739409559,42.409244826811,-66.7227817385172,46.9536221132799,-51.7183734786132
2008,"Spring","USA",-68.4769694991259,43.4775169222767,43.884642179298,-68.3518390156365,41.428393656195,-70.0313161898649,44.2564681568167,-67.4382337750658
2008,"Summer","Canada",-61.7254912289792,43.903167071075,43.5694018646676,-62.1040755604935,42.4071490141281,-66.7128874061251,46.9484599170763,-52.1377138831561
2008,"Summer","USA",-68.5075919075587,43.4639441429745,43.884642179298,-68.3633450785285,41.3758589127334,-70.1113565913249,44.2564886989441,-67.4385297012764
2009,"Fall","Canada",-61.1930728550226,44.0454014178059,43.816813260347,-61.5193038664516,42.4308615159359,-66.7290274600631,46.966247874633,-51.4934426326641
2009,"Fall","USA",-68.4489319484731,43.6204797553575,43.9165864225712,-68.3518390156365,41.8967944566856,-70.084740628975,44.2562721889673,-67.4729791812011
2009,"Spring","Canada",-61.6012428989894,44.0194068447559,43.8025410432055,-62.0663372236763,42.4095092251913,-66.7610493560556,46.9362496556443,-52.1925089091524
2009,"Spring","USA",-68.3901569037546,43.4710237521512,43.9165864225712,-68.0654392488199,41.5126529939611,-70.1474491765227,44.2569884249555,-67.4350116042768
2009,"Summer","Canada",-61.8163099937306,43.9533015686716,43.6477844561215,-62.3731300161606,42.4059053128523,-66.7518434484135,46.9641848765235,-52.4637975060509
2009,"Summer","USA",-68.5001661284883,43.450637341492,43.884642179298,-68.3518390156365,41.379302551468,-70.1566458059663,44.2565292962279,-67.4371732374041
2010,"Fall","Canada",-61.2516706522993,44.0956168342757,43.822684568829,-61.5365919831884,42.43126360528,-66.7562536740619,46.9817488881388,-51.4682740399356
2010,"Fall","USA",-68.4228112804671,43.5906500948979,43.9165864225712,-68.3518390156365,41.6501317521415,-70.0938235544606,44.2566555372974,-67.4384819854022
2010,"Spring","Canada",-61.0361333281222,44.0037386826232,43.822684568829,-61.1447228767695,42.4314471422212,-66.724454633045,46.7393292004345,-52.1524802647021
2010,"Spring","USA",-68.4402029535308,43.6325395833519,43.9165864225712,-68.3518390156365,41.8366412992817,-69.9868422249796,44.2566499474472,-67.4728951030399
2010,"Summer","Canada",-61.9337318956462,43.8721576361353,43.4259208499538,-62.6796956012579,42.4042192326931,-66.6758014000122,46.9880820626613,-52.0585646188089
2010,"Summer","USA",-68.510797637926,43.4796181258225,43.884642179298,-68.3518390156365,41.4284424573178,-70.1555563372608,44.256665384792,-67.4384966688679
2011,"Fall","Canada",-61.0692157224434,44.0979742037274,43.8957137833756,-61.2234051432512,42.4315801148972,-66.759084669937,46.9542060932577,-51.4516174765815
2011,"Fall","USA",-68.6597899012863,43.4200858202354,43.6961248423044,-68.6197094525069,41.606146776989,-70.330650650507,44.2567630279506,-67.4385411642149
2011,"Spring","Canada",-60.7945290651369,44.1472089054835,43.9359585271577,-61.2234051432512,42.4083564862067,-66.7313773281311,46.9876301744527,-51.0085272396998
2011,"Spring","USA",-68.59168178646,43.350658333699,43.6644239317582,-68.6136429203861,41.5324661302432,-70.1550141811662,44.2565636147091,-67.4383961778597
