"","quantile","time","axis","Units","value","Season","YearGroup","Year"
"265","quantile_0.05",89,"km_E","Estimate",-486.116871558554,"Summer",30,2019
"266","quantile_0.5",89,"km_E","Estimate",88.8831284414475,"Summer",30,2019
"267","quantile_0.95",89,"km_E","Estimate",888.883128441447,"Summer",30,2019
"268","quantile_0.05",90,"km_E","Estimate",-336.116871558553,"Fall",30,2019
"269","quantile_0.5",90,"km_E","Estimate",163.883128441447,"Fall",30,2019
"270","quantile_0.95",90,"km_E","Estimate",1038.88312844145,"Fall",30,2019
"271","quantile_0.05",91,"km_E","Estimate",-386.116871558553,"Spring",31,2020
"272","quantile_0.5",91,"km_E","Estimate",138.883128441447,"Spring",31,2020
"273","quantile_0.95",91,"km_E","Estimate",1113.88312844145,"Spring",31,2020
"274","quantile_0.05",92,"km_E","Estimate",-461.116871558553,"Summer",31,2020
"275","quantile_0.5",92,"km_E","Estimate",213.883128441447,"Summer",31,2020
"276","quantile_0.95",92,"km_E","Estimate",938.883128441447,"Summer",31,2020
"277","quantile_0.05",93,"km_E","Estimate",-361.116871558553,"Fall",31,2020
"278","quantile_0.5",93,"km_E","Estimate",213.883128441447,"Fall",31,2020
"279","quantile_0.95",93,"km_E","Estimate",1013.88312844145,"Fall",31,2020
"280","quantile_0.05",94,"km_E","Estimate",-386.116871558552,"Spring",32,2021
"281","quantile_0.5",94,"km_E","Estimate",163.883128441447,"Spring",32,2021
"282","quantile_0.95",94,"km_E","Estimate",913.883128441447,"Spring",32,2021
"283","quantile_0.05",95,"km_E","Estimate",-311.116871558553,"Summer",32,2021
"284","quantile_0.5",95,"km_E","Estimate",313.883128441447,"Summer",32,2021
"285","quantile_0.95",95,"km_E","Estimate",1113.88312844145,"Summer",32,2021
"286","quantile_0.05",96,"km_E","Estimate",-336.116871558553,"Fall",32,2021
"287","quantile_0.5",96,"km_E","Estimate",263.883128441448,"Fall",32,2021
"288","quantile_0.95",96,"km_E","Estimate",1013.88312844145,"Fall",32,2021
"289","quantile_0.05",97,"km_E","Estimate",-361.116871558553,"Spring",33,2022
"290","quantile_0.5",97,"km_E","Estimate",263.883128441447,"Spring",33,2022
"291","quantile_0.95",97,"km_E","Estimate",1038.88312844145,"Spring",33,2022
"292","quantile_0.05",98,"km_E","Estimate",-386.116871558553,"Summer",33,2022
"293","quantile_0.5",98,"km_E","Estimate",288.883128441447,"Summer",33,2022
"294","quantile_0.95",98,"km_E","Estimate",1088.88312844145,"Summer",33,2022
"295","quantile_0.05",99,"km_E","Estimate",-361.116871558553,"Fall",33,2022
"296","quantile_0.5",99,"km_E","Estimate",263.883128441447,"Fall",33,2022
"297","quantile_0.95",99,"km_E","Estimate",1138.88312844145,"Fall",33,2022
"298","quantile_0.05",100,"km_E","Estimate",-436.116871558553,"Spring",34,2023
"299","quantile_0.5",100,"km_E","Estimate",163.883128441447,"Spring",34,2023
"300","quantile_0.95",100,"km_E","Estimate",1063.88312844145,"Spring",34,2023
"301","quantile_0.05",101,"km_E","Estimate",-436.116871558553,"Summer",34,2023
"302","quantile_0.5",101,"km_E","Estimate",163.883128441447,"Summer",34,2023
"303","quantile_0.95",101,"km_E","Estimate",963.883128441447,"Summer",34,2023
"304","quantile_0.05",102,"km_E","Estimate",-411.116871558553,"Fall",34,2023
"305","quantile_0.5",102,"km_E","Estimate",138.883128441447,"Fall",34,2023
"306","quantile_0.95",102,"km_E","Estimate",988.883128441447,"Fall",34,2023
"307","quantile_0.05",1,"km_N","Estimate",4704.13016218116,"Spring",1,1990
"308","quantile_0.5",1,"km_N","Estimate",4804.13016218116,"Spring",1,1990
"309","quantile_0.95",1,"km_N","Estimate",5054.13016218116,"Spring",1,1990
"310","quantile_0.05",2,"km_N","Estimate",4704.13016218116,"Summer",1,1990
"311","quantile_0.5",2,"km_N","Estimate",4804.13016218116,"Summer",1,1990
"312","quantile_0.95",2,"km_N","Estimate",5104.13016218116,"Summer",1,1990
"313","quantile_0.05",3,"km_N","Estimate",4729.13016218116,"Fall",1,1990
"314","quantile_0.5",3,"km_N","Estimate",4829.13016218116,"Fall",1,1990
"315","quantile_0.95",3,"km_N","Estimate",5204.13016218116,"Fall",1,1990
"316","quantile_0.05",4,"km_N","Estimate",4729.13016218116,"Spring",2,1991
"317","quantile_0.5",4,"km_N","Estimate",4854.13016218116,"Spring",2,1991
"318","quantile_0.95",4,"km_N","Estimate",5104.13016218116,"Spring",2,1991
"319","quantile_0.05",5,"km_N","Estimate",4729.13016218116,"Summer",2,1991
"320","quantile_0.5",5,"km_N","Estimate",4854.13016218116,"Summer",2,1991
"321","quantile_0.95",5,"km_N","Estimate",5229.13016218116,"Summer",2,1991
"322","quantile_0.05",6,"km_N","Estimate",4729.13016218116,"Fall",2,1991
"323","quantile_0.5",6,"km_N","Estimate",4829.13016218116,"Fall",2,1991
"324","quantile_0.95",6,"km_N","Estimate",5154.13016218116,"Fall",2,1991
"325","quantile_0.05",7,"km_N","Estimate",4729.13016218116,"Spring",3,1992
"326","quantile_0.5",7,"km_N","Estimate",4854.13016218116,"Spring",3,1992
"327","quantile_0.95",7,"km_N","Estimate",5229.13016218116,"Spring",3,1992
"328","quantile_0.05",8,"km_N","Estimate",4729.13016218116,"Summer",3,1992
"329","quantile_0.5",8,"km_N","Estimate",4879.13016218116,"Summer",3,1992
"330","quantile_0.95",8,"km_N","Estimate",5229.13016218116,"Summer",3,1992
"331","quantile_0.05",9,"km_N","Estimate",4729.13016218116,"Fall",3,1992
"332","quantile_0.5",9,"km_N","Estimate",4804.13016218116,"Fall",3,1992
"333","quantile_0.95",9,"km_N","Estimate",5029.13016218116,"Fall",3,1992
"334","quantile_0.05",10,"km_N","Estimate",4729.13016218116,"Spring",4,1993
"335","quantile_0.5",10,"km_N","Estimate",4854.13016218116,"Spring",4,1993
"336","quantile_0.95",10,"km_N","Estimate",5129.13016218116,"Spring",4,1993
"337","quantile_0.05",11,"km_N","Estimate",4729.13016218116,"Summer",4,1993
"338","quantile_0.5",11,"km_N","Estimate",4904.13016218116,"Summer",4,1993
"339","quantile_0.95",11,"km_N","Estimate",5229.13016218116,"Summer",4,1993
"340","quantile_0.05",12,"km_N","Estimate",4729.13016218116,"Fall",4,1993
"341","quantile_0.5",12,"km_N","Estimate",4879.13016218116,"Fall",4,1993
