"Year","Season","Stratum","Dist_Mean","Dist_Med","Dist_Q5","Dist_Q95"
2013,"Summer","Gully",654.092946168374,672.197264798272,521.382173121565,803.960799625676
2013,"Summer","HaliChan",946.335129352622,929.153399223863,855.003127633599,1034.91513690606
2013,"Summer","Nantucket",212.98010561134,205.097532664073,313.38256589581,150.294373055539
2013,"Summer","Sable",473.45683950168,468.303274224874,347.5695233712,594.448507946259
2014,"Fall","BOF",54.5792104490663,57.709782261029,19.6384023026355,130.648739359935
2014,"Fall","Browns",151.311500959794,149.25838172657,42.0153549668467,243.226722420892
2014,"Fall","CapeBreton",621.902207003201,609.810769274042,546.009336398048,708.947088468925
2014,"Fall","CapeCod",178.349106185848,186.539888831497,259.615674442095,136.57598919085
2014,"Fall","EGOM",72.2625456776279,77.3316203057682,123.424468535372,15.6799248970141
2014,"Fall","GBTail",1349.03678462319,1355.09415000466,1199.28804121764,1450.20642931446
2014,"Fall","Georges",31.7285552008724,42.3500034415901,85.2599227709487,99.3822901282849
2014,"Fall","GrandBanks",1109.35804715199,1111.55477415256,1008.60177369724,1220.73299121065
2014,"Fall","Gully",654.726266490691,672.197264798272,521.052788785912,803.77774258251
2014,"Fall","HaliChan",963.549398642842,949.737612281804,859.105160798272,1075.30270704453
2014,"Fall","Nantucket",199.907162096013,197.011268131502,292.065979902482,150.384828398788
2014,"Fall","Sable",478.577004771546,470.334027370197,357.751408685526,594.847273634153
2014,"Spring","BOF",53.0757593661458,55.1117052571816,14.0677410791046,123.386089524842
2014,"Spring","Browns",157.108995661761,166.815213564203,49.5415195775488,236.748809233946
2014,"Spring","CapeBreton",618.788131375989,609.220123282193,546.282703816342,708.781567746221
2014,"Spring","CapeCod",177.893233292787,182.741712691077,258.088075934925,141.010940634676
2014,"Spring","EGOM",71.4170022958956,77.3316203057682,124.07339955569,14.6453070703899
2014,"Spring","GBTail",1336.61114062375,1352.75379408868,1198.31134663234,1449.07000693922
2014,"Spring","Georges",20.6235501420886,38.3995686973143,96.1479569258894,98.8931140318768
2014,"Spring","GrandBanks",1130.23102093901,1140.84494730594,1001.49224334426,1240.98029335788
2014,"Spring","Gully",659.501336772297,672.197264798272,524.58943003912,804.062526592765
2014,"Spring","HaliChan",944.473085300935,936.557919236784,859.233136344519,1057.85721431617
2014,"Spring","Nantucket",210.15876981664,199.532763427586,314.206765740679,149.648398939129
2014,"Spring","Sable",472.703093607911,456.912353852138,346.788779006048,594.547202961846
2014,"Summer","BOF",57.819477128003,69.1131657577594,18.3652178649425,124.891919008266
2014,"Summer","Browns",175.63390723259,177.194113056756,58.6969817773804,259.655897002567
2014,"Summer","CapeBreton",620.908005053418,609.810769274042,545.984973951943,711.676147181434
2014,"Summer","CapeCod",180.965258502398,186.583584399921,260.147402488386,139.933514335373
2014,"Summer","EGOM",69.4608462699766,78.3415267640854,122.915962114472,15.1982225620295
2014,"Summer","GBTail",1350.78141391238,1355.09415000466,1198.82863462181,1451.76718243229
2014,"Summer","Georges",23.0111628081592,42.3500034415901,92.3010741639785,98.8338588465139
2014,"Summer","GrandBanks",1123.16368346902,1127.57201857228,1002.54622126727,1226.90740521877
2014,"Summer","Gully",658.380971980985,672.768882339716,524.761584376862,783.67432383688
2014,"Summer","HaliChan",956.813255172714,949.468911420558,859.108011641036,1071.5528553643
2014,"Summer","Nantucket",212.232483810167,205.097532664073,308.505487238008,150.503082807486
2014,"Summer","Sable",461.304978827811,451.631933684862,347.02644405981,585.423278752116
2015,"Fall","BOF",54.520866423178,56.8216804457573,20.2603659077316,136.200350110563
2015,"Fall","Browns",151.753944506814,150.17412113727,46.5901363405417,241.366823189639
2015,"Fall","CapeBreton",622.16627720492,610.536391198152,546.128068158849,708.894872187019
2015,"Fall","CapeCod",178.597780787476,182.707467306403,260.678665369083,138.737295516587
2015,"Fall","EGOM",78.5105968034721,93.9232172050527,130.68878021267,18.0612426665666
2015,"Fall","GBTail",1343.60446427862,1352.97871083517,1198.31652825391,1446.96642117179
2015,"Fall","Georges",43.7927154766399,64.4300943210211,66.3981212544682,99.9070746653677
2015,"Fall","GrandBanks",1124.56694039186,1119.7966283251,1010.60094312017,1228.30231837226
2015,"Fall","Gully",657.295375628417,672.197264798272,522.014957668085,803.887568902206
2015,"Fall","HaliChan",954.14912431403,928.888827702166,856.192099259781,1081.82393588111
2015,"Fall","Nantucket",206.854658875578,205.097532664073,297.880649955688,150.86403844345
2015,"Fall","Sable",480.977541849159,480.19894037537,360.767208969527,594.843007134535
2015,"Spring","BOF",55.638260284119,57.709782261029,20.8112257271934,138.995451059544
2015,"Spring","Browns",152.46633524355,150.17412113727,45.7304610010579,241.601844330374
2015,"Spring","CapeBreton",619.695488300925,609.810769274042,546.449785334959,708.694851423627
2015,"Spring","CapeCod",180.925981468192,186.70752854484,260.912725786592,135.276644407515
2015,"Spring","EGOM",74.6422692354545,77.3316203057682,123.246638078464,16.5000653758294
2015,"Spring","GBTail",1340.76920581148,1352.75379408868,1198.77435932381,1446.69355367938
2015,"Spring","Georges",33.1604235997208,42.3500034415901,87.1417418067387,99.5416604242183
2015,"Spring","GrandBanks",1112.12393334242,1112.17103662867,1002.00693939245,1231.56290106702
2015,"Spring","Gully",662.315916103866,672.197264798272,525.885095510298,804.082384250851
2015,"Spring","HaliChan",960.257746991655,949.468911420558,855.308161617392,1073.98759860586
2015,"Spring","Nantucket",207.318197673264,195.010366708011,314.782537857995,149.490519544898
2015,"Spring","Sable",462.357518826742,452.95892609111,345.028846388001,594.264401071288
2015,"Summer","BOF",58.5749684333729,70.7634961229582,21.8521625998491,125.587087107463
2015,"Summer","Browns",141.532234725605,143.120515719953,43.4721151611678,236.367352825479
2015,"Summer","CapeBreton",622.990761863091,610.536391198152,546.442121008538,708.678440282285
2015,"Summer","CapeCod",181.110875470506,186.583584399921,260.293115859614,140.052648278135
2015,"Summer","EGOM",75.0436331985918,77.3316203057682,124.155449854027,16.3881030789944
2015,"Summer","GBTail",1365.10606606818,1386.54677482622,1199.17010172012,1452.32649910315
2015,"Summer","Georges",32.1748003502857,42.3500034415901,87.946742231946,99.2578388825998
2015,"Summer","GrandBanks",1123.57361900002,1139.97208790963,1001.46470389145,1233.43369550594
2015,"Summer","Gully",663.577954109905,672.197264798272,529.555218426574,783.681204316449
2015,"Summer","HaliChan",963.043760151649,949.682322394695,859.081057642503,1076.59922891681
2015,"Summer","Nantucket",212.634559706803,205.097532664073,308.88619965302,150.442058256826
2015,"Summer","Sable",484.455756393484,483.404971813692,363.299259607556,592.673829869305
2016,"Fall","BOF",55.4388274667064,57.709782261029,20.9355112204299,138.630568106754
2016,"Fall","Browns",145.233815356163,146.405473398236,40.7686001468673,237.428723676533
2016,"Fall","CapeBreton",620.006310541781,609.810769274042,546.375292746545,708.754509316056
2016,"Fall","CapeCod",178.873051081974,186.539888831497,257.930346814033,137.456505520303
2016,"Fall","EGOM",72.983485603329,77.3316203057682,123.02122442523,16.3445158210507
2016,"Fall","GBTail",1375.36262528251,1386.54677482622,1225.12348942421,1453.2381340212
2016,"Fall","Georges",35.3226109913097,42.3500034415901,82.2074415613042,99.6006188623549
2016,"Fall","GrandBanks",1112.88395898905,1104.4034735742,1011.46619312768,1213.16763915471
2016,"Fall","Gully",660.601067648611,672.197264798272,526.747571147192,798.208628757552
2016,"Fall","HaliChan",955.798328317192,936.775103056054,859.076954751028,1064.17162126965
2016,"Fall","Nantucket",200.859115610864,189.405814086567,288.545773980618,149.593775799393
2016,"Fall","Sable",484.850598702957,482.396004325329,347.61268730114,594.77469055678
2016,"Spring","BOF",56.4863825286736,70.7634961229582,19.5070246531802,122.900201099504
2016,"Spring","Browns",164.822625880673,171.721949472121,47.9141290969059,256.426596958631
2016,"Spring","CapeBreton",620.844311850418,609.810769274042,546.499443003571,710.850798768273
2016,"Spring","CapeCod",175.887146938454,179.083849518429,260.603122956048,131.951597816133
2016,"Spring","EGOM",75.4831588773759,77.3316203057682,123.532264096464,16.9759980536291
2016,"Spring","GBTail",1344.65984957118,1352.97871083517,1198.5628698781,1450.78312265459
2016,"Spring","Georges",36.3134389265086,50.7972994705518,87.9939797839628,99.5860941475488
2016,"Spring","GrandBanks",1112.90975876012,1105.45290093256,1008.36755256663,1212.9430983599
2016,"Spring","Gully",661.98502702806,672.197264798272,526.043449090706,804.109703255275
2016,"Spring","HaliChan",942.721645799505,942.626900587633,866.04646963193,1047.63170128313
2016,"Spring","Nantucket",210.781995960514,201.921503431024,305.974152541174,150.734918178983
2016,"Spring","Sable",479.402297011124,481.32711843483,346.907312903983,594.732077505941
2016,"Summer","BOF",52.8957431724728,56.8216804457573,19.6456546159834,130.226948779257
2016,"Summer","Browns",156.468775873538,150.17412113727,52.0892778358541,238.686946487681
2016,"Summer","CapeBreton",624.858383005248,632.34980699314,546.38779505743,709.838808919156
2016,"Summer","CapeCod",180.961916843808,186.583584399921,260.734519026293,137.595225030697
2016,"Summer","EGOM",73.3118737589135,77.3316203057682,123.228387972087,17.2386905025181
2016,"Summer","GBTail",1361.6064773877,1381.07134552345,1222.92746360971,1451.49258306508
2016,"Summer","Georges",40.4627963666524,52.355526993144,76.1810058068312,99.1817939306503
2016,"Summer","GrandBanks",1111.22077556353,1112.58049631114,1012.15168998905,1219.99667464982
2016,"Summer","Gully",661.647977063598,672.593505811634,529.902174532943,785.702114025617
2016,"Summer","HaliChan",953.27163801532,949.682322394695,858.964847770353,1047.51813502585
2016,"Summer","Nantucket",213.340893863591,213.952377228689,307.357375133547,150.408813318242
2016,"Summer","Sable",490.363063356947,500.746862650994,356.939988337098,594.288880218906
2017,"Fall","BOF",54.8195986083204,56.8216804457573,21.1186855827371,141.203837732879
2017,"Fall","Browns",155.040239678886,150.17412113727,47.9385300774988,244.378757640005
2017,"Fall","CapeBreton",621.693842200181,609.810769274042,546.05887562322,708.933312778671
