"Year","Season","Stratum","Depth_Mean","Depth_Median","Depth_Q5","Depth_Q95","Period"
2005,"Summer","USA",125.554381047812,128.61068,43.4986816382204,193.446982164286,"Before Warming"
2006,"Fall","Canada",315.027135713637,141.74271,65.437078924785,1314.59166500726,"During Warming"
2006,"Fall","USA",126.510815047082,128.61068,49.9224838862683,193.446436638896,"During Warming"
2006,"Spring","Canada",327.618197109856,150.3121,76.7631189945225,1316.48140510224,"During Warming"
2006,"Spring","USA",127.151134564618,128.61068,50.9646584110797,197.893202030614,"During Warming"
2006,"Summer","Canada",298.869186403592,136.68755,69.4984680286659,1272.72792761568,"During Warming"
2006,"Summer","USA",125.239952840662,128.61068,43.5208950028543,193.450446599838,"During Warming"
2007,"Fall","Canada",300.395001425151,141.74271,66.6276524737836,1246.80185530555,"During Warming"
2007,"Fall","USA",129.699946552346,130.49988,48.5315677178683,199.868075947507,"During Warming"
2007,"Spring","Canada",302.881567724237,148.2568,72.9639466794606,1246.53685097484,"During Warming"
2007,"Spring","USA",130.920075443325,130.49988,48.567881213813,207.35588525543,"During Warming"
2007,"Summer","Canada",254.618265555107,133.87537,70.2309314894526,1130.80021958663,"During Warming"
2007,"Summer","USA",127.516016952915,128.61068,45.669902483455,198.046311708162,"During Warming"
2008,"Fall","Canada",294.265371062326,136.68755,62.7409848867157,1246.78968889597,"During Warming"
2008,"Fall","USA",124.576953144067,128.61068,54.0151515051372,193.407000031433,"During Warming"
2008,"Spring","Canada",263.502260752958,133.87537,73.2883542131637,1189.13489900104,"During Warming"
2008,"Spring","USA",129.042757009179,128.61068,51.6460704298136,194.007157004754,"During Warming"
2008,"Summer","Canada",279.620235246712,136.68755,65.4904173075276,1246.00940879791,"During Warming"
2008,"Summer","USA",125.789864891955,128.61068,43.5109811335371,193.438077127916,"During Warming"
2009,"Fall","Canada",298.521569282046,136.68755,65.1006934680526,1246.71290777356,"During Warming"
2009,"Fall","USA",124.777806700892,128.61068,49.9254188031411,193.404183543942,"During Warming"
2009,"Spring","Canada",265.993846600463,136.68755,69.4845980834177,1131.44678565529,"During Warming"
2009,"Spring","USA",134.703552914777,150.86037,58.2694650372428,207.468876478833,"During Warming"
2009,"Summer","Canada",268.666276997083,133.87537,62.4365351156749,1227.77339514261,"During Warming"
2009,"Summer","USA",127.062178540859,128.61068,46.3958259562529,193.448668530402,"During Warming"
2010,"Fall","Canada",278.072956365667,134.75941,61.8205928049283,1246.06238592005,"During Warming"
2010,"Fall","USA",126.663295605746,128.61068,48.564107186231,193.430943325776,"During Warming"
2010,"Spring","Canada",311.258364454139,148.66989,68.1908861826726,1246.5480871793,"During Warming"
2010,"Spring","USA",124.518328345433,120.25267,36.4046986884527,193.419083595095,"During Warming"
2010,"Summer","Canada",252.424521910073,132.468,65.5156800176974,1130.69561472315,"During Warming"
2010,"Summer","USA",126.263749702977,128.61068,43.5497469249635,193.43806770815,"During Warming"
2011,"Fall","Canada",299.118403147299,134.75941,64.8868547153407,1301.29768186028,"During Warming"
2011,"Fall","USA",129.01065739138,130.49988,48.5246907135032,193.446693255618,"During Warming"
2011,"Spring","Canada",271.386231229369,136.68755,61.8251861430764,1216.84808473416,"During Warming"
2011,"Spring","USA",134.403360417189,140.09472,56.810855450007,201.125193153972,"During Warming"
2011,"Summer","Canada",315.558371217308,133.87537,76.6745741588301,1354.94031040356,"During Warming"
2011,"Summer","USA",128.603670451119,130.49988,48.0420025694195,193.44786186022,"During Warming"
